id,session,category,office,name,url
1251341,2013,ASSEMBLY DISTRICTS,ASSEMBLY 07,"DICKINSON, ROGER",/Campaign/Candidates/Detail.aspx?session=2013&id=1251341
1319205,2013,ASSEMBLY DISTRICTS,ASSEMBLY 09,"PAN, RICHARD",/Campaign/Candidates/Detail.aspx?session=2013&id=1319205
1338897,2013,ASSEMBLY DISTRICTS,ASSEMBLY 10,"LEVINE, MARC",/Campaign/Candidates/Detail.aspx?session=2013&id=1338897
1341572,2013,ASSEMBLY DISTRICTS,ASSEMBLY 11,"FRAZIER, JR., JAMES L",/Campaign/Candidates/Detail.aspx?session=2013&id=1341572
1323478,2013,ASSEMBLY DISTRICTS,ASSEMBLY 12,"OLSEN, KRISTIN M.",/Campaign/Candidates/Detail.aspx?session=2013&id=1323478
1337454,2013,ASSEMBLY DISTRICTS,ASSEMBLY 13,"EGGMAN, SUSAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1337454
1315657,2013,ASSEMBLY DISTRICTS,ASSEMBLY 14,"BONILLA, SUSAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1315657
1303644,2013,ASSEMBLY DISTRICTS,ASSEMBLY 15,"SKINNER, NANCY",/Campaign/Candidates/Detail.aspx?session=2013&id=1303644
1299400,2013,ASSEMBLY DISTRICTS,ASSEMBLY 16,"BUCHANAN, JOAN",/Campaign/Candidates/Detail.aspx?session=2013&id=1299400
1290517,2013,ASSEMBLY DISTRICTS,ASSEMBLY 17,"AMMIANO, TOM",/Campaign/Candidates/Detail.aspx?session=2013&id=1290517
1339733,2013,ASSEMBLY DISTRICTS,ASSEMBLY 18,"BONTA, ROB",/Campaign/Candidates/Detail.aspx?session=2013&id=1339733
1343138,2013,ASSEMBLY DISTRICTS,ASSEMBLY 19,"TING, PHIL",/Campaign/Candidates/Detail.aspx?session=2013&id=1343138
1336944,2013,ASSEMBLY DISTRICTS,ASSEMBLY 20,"QUIRK, BILL",/Campaign/Candidates/Detail.aspx?session=2013&id=1336944
1315410,2013,ASSEMBLY DISTRICTS,ASSEMBLY 21,"GRAY, ADAM C.",/Campaign/Candidates/Detail.aspx?session=2013&id=1315410
1342937,2013,ASSEMBLY DISTRICTS,ASSEMBLY 22,"MULLIN, KEVIN C.",/Campaign/Candidates/Detail.aspx?session=2013&id=1342937
1346007,2013,ASSEMBLY DISTRICTS,ASSEMBLY 23,"PATTERSON, JIM",/Campaign/Candidates/Detail.aspx?session=2013&id=1346007
